lyrics;title
"Se nos muere el amor, tiene fiebre de frio
Se nos cayó de la cama
Cuando lo empujó el hastio
Y esta enfermo de muerte
El mismo que era tan fuerte
Tiene anemia de besos, tiene cancer de olvido
Y por si fuera poco, tiene ganas de morir
Se nos muere el amor
Se nos mueren las ganas, las vemos agonizar
Convulsionando entre las sábanas
Y no existe un vino tinto
Que nos reviva el instinto
Se nos muere la magia, la pasión, la locura
Ay amor traicionero
Viniste pa' jorobarnos
Yo sobrevivia sin ella
Y ella era feliz sin mi
Ay amor con el tiempo te nos has oxidado
Ay amor susceptible, ay amor delicado
Ay amor no te mueras
O muerete de un trancazo
Que no hay peor agonia
Que la que es de paso en paso
Se nos muere el amor, se acabo la ternura
Y a la libertad, la convertimos en dictadura
Se contagio de costumbre
Le falto fuego a la lumbre
Se nos mueren los sueños, los versos, los besos
Ay amor implacable yo ya no se que prefiero
Que me odie de corazon
O que me ame sin amor
Ay amor con el tiempo te nos has oxidado
Ay amor susceptible, ay amor delicado
Ay amor no te mueras
O muerete de un trancazo
Que no hay peor agonia
Que la que es de paso en paso
Si todo era tan bello
Dime amor que nos pasa
Hoy ya no somos ni amigos
No cabemos en casa
Ay amor tan ingrato
Quitame solo una duda
Si eres tu el que te mueres
O soy yo el que te mato
";El amor - Live
"Letra de El Cielo A Mi FavorTiene un manantial bajo la lengua
Y una luz de marzo entre los ojos
Su espalda es la luna cuando mengua
Y ella vence en tregua cuando enojo
Se quedó sin su sostén pa' sostenerme
Se quedó sin su vestido pa' mi abrigo
Se desnudó completa pa' quererme
Y perdió su libertad pa' estar conmigo
Ella
Me quiere como no me quiero yo
Ella
Me cuida como no me cuido yo
El cielo a mi favor se equivocó
Tengo claro que no me merezco
El milagro del permiso de su boca
Es tan poca cosa la que ofrezco
El cielo a mi favor hoy se equivoca
Ella
Me quiere como no me quiero yo
Ella
Me cuida como no me cuido yo
El cielo a mi favor se equivocó
Se quedó sin su sostén pa' sostenerme
Se quedó sin su vestido pa' mi abrigo
Y ya desnuda
Se quedó sin soledad
Pa' estar conmigo
";El Cielo A Mi Favor
"Te ves al espejo, te ríes de ti
Vives bajo el pellejo de ser maniquí
Que se va haciendo viejo
Ignorando que es lo que hace aquí
Te pones camisa y el vaquero de ayer
Sales siempre de prisa al amanecer
Sacudiendo cenizas de vientos que no van a volver
Tan ruin y tan desamparado
Tan solo y tan minimizado
Un taxi en la esquina, un pan con jamón
Sigues la disciplina, el escalafón;
Campeón de la rutina, de ser solo otro más del montón
Corbata suicida, chaqueta marrón
Ya metiste la vida en el calefón
Ponle sal a la herida y algunas tachuelas al colchón
Tan hippie, tan encarcelado
Tan libre, tan disciplinado
Nadie te hará un homenaje
Cuando mueras un lunes por la tarde
Nadie se acuerda de nadie
Y menos de un tipo tan cobarde
Me estás oyendo tú el del espejo
Aunque no estamos ya pa' consejos
Yo soy el idiota que abordo en cuestión
Una simple pelota de la situación
Que rebota y rebota con tal de no atrasar la pensión
Planeando la huida de la libertad
Se me ha ido la vida sin la voluntad
Por faquir y suicida, soy sólo un peón de la sociedad
Tan dósil y tan vulnerable
Tan débil y tan olvidable
Nadie te hará un homenaje
Cuando mueras un lunes por la tarde
Nadie se acuerda de nadie
Y menos de un tipo tan cobarde
Nadie te hará un homenaje
Cuando mueras un lunes por la tarde
Nadie se acuerda de nadie
Y menos de un tipo tan cobarde
Me estás oyendo tú el del espejo
Aunque no estamos ya pa' consejos
(Nadie te hará un homenaje
Cuando mueras un lunes por la tarde)
Nadie se acuerda de nadie
Y menos de un tipo tan cobarde
Nadie se acuerda de nadie
";El del espejo
"No sé qué historia te inventé
Para que te quedaras a dormir aquí
Lo cierto es que eso fue hace meses
Y no te veo ganas de querer salir
Poco a poco minaste el terreno
Olvidando cosas como el secador
Hasta que te adueñaste de todo
Incluso del control de mi televisor
Hoy mi libertad bosteza
Pues la generala me prohibió salir
Es viernes y me quedo en casa
Porque su mamá hoy viene a cocinar
Y desfila con su look de tubos
Al más puro estilo de la vecindad
Fue tan difícil que entrara
Y se ve imposible hacerla salir
El demonio en casa, empezó de oveja
Hoy pido permiso mientras limpio el piso
Para invitar un amigo
El demonio en casa, máquina del sexo;
Dice cuando se hace, dicta como se hace
Y a la hora que le convenga
El demonio en casa no quiere salir
Desde que empezaste con las dietas
No se encuentra nada en el congelador
Tu llevas 6 kilos de más
Y yo le he abierto 3 huecos al cinturón
Ya cambiaste el número de casa
Para que esas golfas nunca llamen más
Y me pusiste un celular
Y tú guardas la clave para mi buzón
El demonio se mudó a mi casa
Y no hay exorcismo que la haga salir
Ya colocó una foto de ella
Junto a su mamá en el recibidor
Y del clóset ni entrar en detalles
Que es campo minado a lo Afganistán
Entre blusas y bisutería
Ya no tengo espacio para un calcetín
El demonio en casa, empezó de oveja
Hoy pido permiso mientras limpio el piso
Para invitar un amigo
El demonio en casa, máquina del sexo;
Dice cuando se hace, dicta como se hace
Y a la hora que le convenga
El demonio en casa no quiere salir
Entre la limpieza y la cocina
La pedicurista y su peinador;
Trabajan más de 6 en casa
Y estoy sospechando de su entrenador
";El demonio en casa
"Letra de EllaElla ya hizo todo lo que es bueno
Estudió para Galeno
Se cuidó del que dirán
Cumplió con su papá poniendo freno
Al peligro del veneno
De toparse a algún Don Juán
Ella quiere versos en la esquina
Sexo en la cocina
Gimnasia en el sillón
Treparse como Jane de las cortinas
Desnudarse en la oficina
Bailar en el colchón
Y celebrar que está viva
Explotando en libertad
Para sanar las heridas
Con pura electricidad
Con pura electricidad
Ella quiere viajes con mochila
Vestirse de asesina
Besar a un picaflor
Sangrar con esas flores con espina
Celebrar la indisciplina
Con un grito alentador
Y celebrar que está viva
Explotando en libertad
Para sanar las heridas
Con pura electricidad
Con pura electricidad
Y recordar que la vida
Es solo una no hay dos
Al cuerpo lo que le pida
Y al que dirán un adiós
Y celebrar que está viva
Explotando en libertad
Para sanar las heridas
Con pura electricidad
Y celebrar que está viva
Explotando en libertad
Para sanar las heridas
Con pura electricidad
Con pura electricidad
";Ella
"Ella es de La Habana, él de Nueva York
Ella baila en tropicana, a él le gusta el rock
Ella vende besos en un burdel
Mientras el se gradua en U.C.L.A
Ella es medio Marxista, él es Republicano
Ella quiere ser artista, él odia a los Cubanos
El cree en la Estatua de la Libertad
Y ella en su vieja Habana de la Soledad
El ha comido hamburguesas
Ella moros con crisitanos
El, el champagne con sus fresas
Ella un mojito Cubano
Ella se fue de gira a Yucatán
Y el de vacaciones al mismo lugar
Mulata hasta los pies, el rubio como el sol
Ella no habla Inglés y el menos Español
El fue a tomar un trago sin sospechar
Que iba a encontrar el amor en aquél lugar
Lo que las ideologías dividen al hombre
El amor con sus hilos los une en su nombre
Ella mueve su cintura al ritmo de un tan tan
Y él se va divorciando del Tio Sam
El se refugia en su piel... la quiere para él
Y ella se va olvidando de Fidel
Que sabian Lenin y Lincoln del amor?
Que saben Fidel y Clinton del amor?
Ella se sienta en su mesa, el tiembla de la emoción
Ella se llama Teresa y el se llama John
Ella dice hola chico, el contesta hello
A ella no le para el pico, el dice speak slow
El se guardo su bandera, ella olvidó los conflictos
El encontro la manera de que el amor salga invicto
La tomó de la mano y se la llevó
El Yanqui de la Cubana se enamoró
Lo que las ideologías dividen al hombre
El amor con sus hilos los une en su nombre
Ella mueve su cintura al ritmo de un tan tan
Y el se va divorciando del Tio Sam
El se refugia en su piel... la quiere para el
Y ella se va olvidando de Fidel
Que sabian Lenin y Lincoln del amor
Que saben Fidel y Clinton del amor
Ahora viven en Paris
Buscaron tierra neutral
Ella logro ser actriz, el es un tipo normal
Caminan de la mano, calle Campos Eliseos
Como quien se burla del planeta y sus vicios
";Ella y el
"Ella es de La Habana, él de Nueva York
Ella baila en Tropicana, a él le gusta el rock
Ella vende besos en un burdel
Mientras el se gradua en U.C.L.A
Ella es medio marxista, él es republicano
Ella quiere ser artista, él odia a los cubanos
El cree en la estatua de La Libertad
Y ella en su vieja Habana de La Soledad
El ha comido hamburguesas
Ella moros con cristianos
El, el champagne con sus fresas
Ella un mojito cubano
Ella se fue de gira a Yucatán
Y el de vacaciones al mismo lugar
Mulata hasta los pies, el rubio como el sol
Ella no habla inglés y el menos español
El fue a tomar un trago sin sospechar
Que iba a encontrar el amor en aquél lugar
Lo que las ideologías dividen al hombre
El amor con sus hilos los une en su nombre
Ella mueve su cintura al ritmo de un tan tan
Y él se va divorciando del Tio Sam
El se refugia en su piel... la quiere para él
Y ella se va olvidando de Fidel
Que sabian Lenin y Lincoln del amor?
Que saben Fidel y Clinton del amor?
Ella se sienta en su mesa, el tiembla de la emoción
Ella se llama Teresa y el se llama John
Ella dice hola chico, el contesta hello
A ella no le para el pico, el dice speak slow
El se guardo su bandera, ella olvidó los conflictos
El encontro la manera de que el amor salga invicto
La tomó de la mano y se la llevó
El Yanqui de la Cubana se enamoró
Lo que las ideologías dividen al hombre
El amor con sus hilos los une en su nombre
Ella mueve su cintura al ritmo de un tan tan
Y el se va divorciando del Tio Sam
El se refugia en su piel... la quiere para el
Y ella se va olvidando de Fidel
Que sabian Lenin y Lincoln del amor
Que saben Fidel y Clinton del amor
Ahora viven en Paris
Buscaron tierra neutral
Ella logro ser actriz, el es un tipo normal
Caminan de la mano, calle Campos Eliseos
Como quien se burla del planeta y sus vicios
Historia de Taxi:
Eran las diez de la noche piloteaba mi nave
Era mi taxi un VolksWagen del año 68
Era un dia de esos malos donde no hubo pasaje
Las lentejuelas de un traje me hicieron la parada
Era una rubia preciosa llevaba minifalda
El escote en su espalda llegaba justo a la gloria
Una lagrima negra rodaba en su mejilla
Mientras que el retrovisor decia ve que pantorillas
Yo vi un poco mas
Eran las diez con cuarenta sigzagueaba en reforma
Me dijo me llamo Norma mientras cruzaba la pierna
Saco un cigarro algo extraño de esos que te dan risa
Le ofreci fuego de prisa y me temblaba la mano
Le pregunte por quien llora y me dijo por un tipo
Que se cree que por rico puede venir a engañarme
No caiga usted por amores debe de levantarse (le dije)
Cuente con un servidor si lo que quiere es vengarse
Y me sonrio
Que es lo que hace un taxista seduciendo a la vida
Que es lo que hace un taxista construyendo una herida
Que es lo que hace un taxista enfrente de una dama
Que es lo que hace un taxista con sus sueños de cama
Me pregunte
Lo vi abrazando y besando a una humilde muchacha
Es de clase muy sencilla lo se por su facha
Me sonreia en el espejo y se sentaba de lado
Yo estaba idiotizado con el espejo empañado
Me dijo doble en la esquina iremos hasta mi casa
Despues de un par de tequilas veremos que es lo que pasa
Para que describir lo que hicimos en la alfombra
Si basta con resumir que le bese hasta la sombra
Y un poco mas
No se sienta usted tan sola sufro aunque no es lo mismo
Mi mujer y mi horario han abierto un abismo
Como se sufre ambos lados de las clases sociales
Usted sufre en su mansion yo sufro en los arrabales
Me dijo vente conmigo que sepa no estoy sola
Se hizo en el pelo una cola fuimos al bar donde estaban
Entramos precisamente él abrazaba una chica
Mira si es grande el destino y esta ciudad es chica
Era mi mujer
Que es lo que hace un taxista seduciendo a la vida
Que es lo que hace un taxista construyendo una herida
Que es lo que hace un taxista cuando un caballero
Coincide con su mujer en horario y esmero
Me pregunte
Desde aquella noche ellos juegan a engañarnos
Se ven en el mismo bar...
Y la rubia para el taxi siempre a las diez
En el mismo lugar
";Ella y el/historia de taxi - en vivo
"El problema no fue hallarte
El problema es olvidarte
El problema no es tu ausencia
El problema es que te espero
El problema no es problema
El problema es que me duele
El problema no es que mientas
El problema es que te creo
El problema no es que juegues
El problema es que es conmigo
Si me gustaste por ser libre
Quién soy yo para cambiarte
Si me quedé queriendo solo
Cómo hacer para obligarte
El problema no es quererte
Es que tú no sientas lo mismo
Y cómo deshacerme de ti
Si no te tengo
Cómo alejarme de ti
Si estás tan lejos
Cómo encontrarle una pestaña
A lo que nunca tuvo ojos
Cómo encontrarle plataformas
A lo que siempre fue un barranco
Cómo encontrar en la alacena
Los besos que no me diste
Y cómo deshacerme de ti
Si no te tengo
Cómo alejarme de ti
Si estás tan lejos
Y es que el problema no es cambiarte
El problema es que no quiero
El problema no es que duela
El problema es que me gusta
El problema no es el daño
El problema son las huellas
El problema no es lo que haces
El problema es que lo olvido
El problema no es que digas
El problema es lo que callas
Y cómo deshacerme de ti
Si no te tengo
Cómo alejarme de ti
Si estás tan lejos
Cómo encontrarle una pestaña
A lo que nunca tuvo ojos
Cómo encontrarle plataformas
A lo que siempre fue un barranco
Cómo encontrar en la alacena
Los besos que no me diste
Y cómo deshacerme de ti
Si no te tengo
Cómo alejarme de ti
Si estás tan lejos
El problema no fue hallarte
El problema es olvidarte
El problema no es que mientas
El problema es que te creo
El problema no es cambiarte
El problema es que no quiero
El problema no es quererte
Es que tú no sientas lo mismo
El problema no es que juegues
El problema es que es conmigo
";El Problema
"El problema no fue hallarte
El problema es olvidarte
El problema no es tu ausencia
El problema es que te espero
El problema no es problema
El problema es que me duele
El problema no es que mientas
El problema es que te creo
El problema no es que juegues
El problema es que es conmigo
Si me gustaste por ser libre
Quien soy yo para cambiarte
Si me quede queriendo solo
Como hacer para obligarte
El problema no es quererte
Es que tu no sientas lo mismo
Y como deshacerme de ti si no te tengo
Como alejarme de ti si estas tan lejos
Como encontrarle una pestaña
A lo que nunca tuvo ojos
Como encontrarle plataforma
A lo que siempre fue un barranco
Como encontrar el la alacena
Los besos que no me diste
Y como deshacerme de ti si no te tengo
Como alejarme de ti si estas tan lejos
Y el que es problema no es cambiarte
El problema es que no quiero
El problema no es que duela
El problema es que me gusta
El problema no es el daño
El problema son las huellas
El problema no es lo que haces
El problema es que lo olvido
El problema no es que digas
El problema es lo que callas
Y como deshacerme de ti si no te tengo
Como alejarme de ti si estas tan lejos
Como encontrarle una pestaña
A lo que nunca tuvo ojos
Como encontrarle plataforma
A lo que siempre fue un barranco
Como encontrar el la alacena
Los besos que no me diste
Y como deshacerme de ti si no te tengo
Como alejarme de ti si estas tan lejos
Como encontrarle una pestaña
A lo que nunca tuvo ojos
Como encontrarle plataforma
A lo que siempre fue un barranco
Como encontrar el la alacena
Los besos que no me diste
Y como deshacerme de ti si no te tengo
Como alejarme de ti si estas tan lejos
El problema no fue hallarte
El problema es olvidarte
El problema no es que mientas
El problema es que te creo
El problema no es cambiarte
El problema es que no quiero
El problema no es quererte
Es que tu no sientas lo mismo
El problema no es que juegues
El problema es que es conmigo
";El problema - en vivo
"Letra de El Que OlvidaParece que estas bien
Perfecta pa' la foto
Mas talla en el sostén
Chófer y copiloto
Mas nanas que herederos
Mas millas que azafata
Combinas tus sombreros
Con todas sus corbatas
Mascotas con casita
Y estatus VIP y el Dalai te da cita
Cuando anda por aquí
Cada cual su vida
Yo quise la verdad, tu la mentira
Lujo y pesadilla
Quien tiene dignidad no se arrodilla
<a annotation-fragment=""12344327"" class=""referent"" classification=""unreviewed"" data-id=""12344327"" href=""/Ricardo-arjona-el-que-olvida-lyrics#note-12344327"" image=""false"" ng-class=""{
          'referent--linked_to_preview': song_ctrl.referent_has_preview(fragment_id),
          'referent--linked_to_preview_active': song_ctrl.highlight_preview_referent(fragment_element_id),
          'referent--purple_indicator': song_ctrl.show_preview_referent_indicator(fragment_element_id)
        }"" ng-click=""open()"" on-hover-with-no-digest=""set_current_hover_and_digest(hover ? fragment_id : undefined)"" pending-editorial-actions-count=""0"" possibly-branded=""false"" prevent-default-click="""">Dicen que en la vida
No gana el que se va
Si no el que olvida
Parece que estas bien
Parece que parece
Que el precio de un rehén
Paga lo que merece
Parece que estoy mal
Y no es lo que parece
La azúcar sabe a sal
Depende quien te bese
No llames mas a casa
Te juro soy feliz
Con mi sarten de grasa
Y mi amor de aprendiz
Cada cual su vida
Yo quise la verdad, tu la mentira
Lujo y pesadilla
Quien tiene dignidad no se arrodilla
Dicen que en la vida
No gana el que se va
Si no el que olvida
Cada cual su vida
Yo quise la verdad tu la mentira
Lujo y pesadilla
Quien tiene dignidad no se arrodilla
Dicen que en la vida
No gana el que se va
Si no el que olvida
";El Que Olvida
"Escribir una cancion no es ir deprisa
Como quieren ir deprisa los que asumen
Que es un acto fisiologico y mundano
Como hacer la digestion y crear desechos
Escribir una cancion es crear tormenta
En el corazon del que la pare con dolores
Es un acto irreverente y solitario
Como lo es la confesion de un condenado
Es ir al cielo y abrir la puerta
Meterse al cuarto de un Dios noctambulo
Y esperar a que este dormido
Para robar algun verso suyo
Salir despacio y sin dejar huella
Y conspirar contra el gran peligro
De que se enteren que un Dios bohemio
Es el autor de lo que compartes
Si escribi por escribir algunas veces pa'
Aumentar el inventario en la despensa
Si un encargo me obligo al sacrilegio
De sentirme un arquitecto de emociones
Si escribir una cancion no es ejercicio
Que mejora con la practica y el tiempo
Es pegarle un bofeton a la rutina
Y rasgarle la piel a lo imposible
Es ir al cielo y abrir la puerta
Meterse al cuarto de un Dios noctambulo
Y esperar a que este dormido
Para robar algun verso suyo
Salir despacio y sin dejar huella
Y conspirar contra el gran peligro
De que se enteren que un Dios bohemio
Es el autor de lo que compartes
Que quede claro que las canciones
Se las robamos a un Dios dormido
";Escribir una canción
"Las urracas casi a diario vienen al lugar
Pero no es suficiente y me cansa vigilar Solo, siempre solo
La luna era mi amiga pero el sol la deslumbró
Por las noches hablábamos las cosas de los dos
Luego fui testigo de lo solo que se queda el trigal
Que triste suerte! No poder siquiera moverme un poco al sur
Hasta la luna se quedo dormida y la lluvia por el tejado rodó
Y yo sin nada por hacer, esto me pasa por ser un espantapájaros
De casimir ingles con la corbata al revés
Casimir que hace un siglo me heredo un difunto juez
Y mi corbata es banquete de ratas
Mi sombrero es marrón y mi cabeza es un balón
Hace 32 años una chica que paso hizo con su mirada que en mi pecho
Palpitara un corazón
Maldita suerte! No pude siquiera moverme ese día
Quise decirte desátame de esta estaca palpitara un corazón
Quise decirte desátame de esta estaca que me amarra a este trigal
Y llévame junto a ti
Son siglos los que llevo aquí y hasta hoy se que soy hombre y no mujer
Pero nada es lo que pude hacer, eso me pasa por ser un espantapájaros
Siempre solo
Siempre solo
Siempre solo
";Espantapájaros
"Enciendo la tele y la publicidad
Me vende unas pastillas para adelgazar
El detergente de moda, la mejor rasuradora
Y hasta el circo de Moscu, un sillon que da masajes
Y la coleccion de trajes de Hugo Boss
Un cigarro que te hace hombre
Una bruja que te lee el nombre y el cafe
Unos refrescos que te quitan la sed
Y un aparato de ejercicios pa' que te den
Me venden relojes, pulseras y adornos
Y hasta una porno en Pay Per View
La cura de todos tus males
Si es que le haces al guru
Y yo que solo espero que salgas tu
Pa' que valga la pena este desvelo
Si te fuiste de aqui para hacerte modelo
Sal tomando Coca Cola, Mascando un chicle
O moviendo el trasero en un anuncio de jeans
Montada en un caballo de los de Marlboro
O hechandote esa pomada que te abre los poros
Y cura el acne, pero sal por favor
Que hace ya tanto tiempo que no se te ve
Y yo sigo buscandote frente al televisor
Me duermo con el himno y me despierto a las 6
Pa' ver si en las noticias eres tu la del clima
O quizas la asesina de un tipo que muere
De tanto extrañar
Y yo sigo buscandote frente al televisor
Primero aparezco yo con mi cara de idiota
Cantando lo mismo, haz que valga la pena
Tragarme siete novelas, por verte otra vez
Quiero ver tu silueta moviendose alli
Investigar en tus ojos si te acuerdas de mi
O si fue solo una excusa, una gran escaramusa
Para largarte de aqui
Mientras que Ronald McDonald
Me da papas gratis si compro un Big Mac
Y yo sigo buscandote frente al televisor
Me duermo con el himno y me despierto a las 6
Pa' ver si en las noticias eres tu la del clima
O quizas la asesina de un tipo que muere
De tanto extrañar
Y yo sigo buscandote frente al televisor
Primero aparezco yo con mi cara de idiota
Cantando lo mismo, haz que valga la pena
Tragarme siete novelas, por verte otra vez
";Frente Al Televisor
"Diseñas escaparates para apresar alli
La libertad de esa niña que mas bien ya es toda una mujer
Cierras puertas y ventanas
Una fuga crees evitar
No ves que por los cristales que dan a la calle
Ella ve al tiempo pasar
Desnuda mira su cuerpo y ve que la infancia ha pasado ya
Seguro que ya olvidaste hace mucho tiempo ya
Que en tu pecho habia un fuego
Que era el fuego de la juventud
Y ahora no eres mas que hielo
Enfriando ese vastago de mujer
Sueltale la rienda a esa muchacha
Que ella quiere vivir
Ella quiere volar
Ella quiere reir
Ella quiere vivir
Sueltale la rienda a esa muchacha
Que ella quiere tener
Una mano amiga
Una boca vecina
Un beso en una esquina
Y no le arranques mas
Y no le robes mas
Ese fuego de juventud
Todos los hombres son malos
Acostumbras a decir
Quiero que sepas mi amigo que
El leon juzga por su condicion
Y que no es justo que ella
Pague todo el daño que un dia tu hiciste
Prohibidas las amistades
Que la puedan distraer
No ves que sus dos amigas
Son soledad y aburrimiento
Lo peor es que ella es tan bella
Tiene tanto que ofrecer
Sueltale la rienda a esa muchacha
Que ella quiere vivir
Ella quiere volar
Ella quiere reir
Ella quiere vivir
Sueltale la rienda a esa muchacha
Que ella quiere tener
Una mano amiga
Una boca vecina
Un beso en una esquina
Y no le arranques mas
Y no le robes mas
Ese fuego de juventud
";Fuego de juventud
"Letra de Fuiste TúFuiste tú
Tenerte fue una foto tuya puesta en mi cartera
Un beso y verte hacer pequeño por la carretera
Lo tuyo fue la intermitencia y la melancolía
Lo mi fue aceptarlo todo porque te quería
Verte llegar fue luz, verte partir un blues
Fuiste tú
De más esta decir que sobra decir tantas cosas
O aprendes a querer la espina o no aceptes rosas
Jamás te dije una mentira o te inventé un chantaje
Las nubes grises también forman parte del paisaje
Y no me veas así, si hubo un culpable aquí
Fuiste tú
Que fácil fue tocar el cielo la primera vez
Cuando los besos fueron el motor de arranque
Que encendió la luz que hoy se desaparece
Así se disfraza el amor para su conveniencia
Aceptando todo sin hacer preguntas
Y dejando al tiempo la estocada a muerte
Nada mas que decir
Solo queda insistir
Dilo
Fuiste tú
La luz de neón del barrio sabe que estoy tan cansada
Me ha visto caminar descalza por la madrugada
Estoy en medio del que soy y del que tu quisieras
Queriendo despertar pensando como no quisiera
Y no me veas así, si hubo un culpable aquí
Fuiste tú
Que facil fue tocar el cielo la primera vez
Cuando los besos fueron el motor de arranque
Que encendio la luz que hoy se desaparece
Asi se disfraza el amor para su conveniencia
Aceptando todo sin hacer preguntas
Y dejando al tiempo la estocada a muerte
Nada mas que decir
Solo queda insistir
Fuiste tú
Que facil fue tocar el cielo la primera vez
Cuando los besos fueron el motor de arranque
Que encendio la luz que hoy se desaparece
Asi se disfraza el amor para su conveniencia
Aceptando todo sin hacer preguntas
Y dejando al tiempo la estocada a muerte
Nada mas que decir
Si quieres insistir
Fuiste tú
";Fuiste Tú
"Fuiste tú
Tenerte fue una foto tuya puesta en mi cartera
Un beso y verte hacer pequeño por la carretera
Lo tuyo fue la intermitencia y la melancolía
Lo mío fue aceptarlo todo porque te quería
Verte llegar fue luz, verte partir un blues
Fuiste tú
De más está decir que sobra decir tantas cosas
O aprendes a querer la espina o no aceptes rosas
Jamás te dije una mentira o te inventé un chantaje
Las nubes grises también forman parte de paisaje
Y no me veas así, si hubo un culpable aquí
Fuiste tú
Que fácil fue tocar el cielo la primera vez
Cuando los besos fueron el motor de arranque
Que encendió la luz que hoy se desaparece
Así se disfraza el amor para su conveniencia
Aceptando todo sin hacer preguntas
Y dejando al tiempo la estocada a muerte
Nada más que decir
Sólo queda insistir
Dilo
Fuiste tú
La luz de neón del barrio sabe que estoy tan cansada
Me ha visto caminar descalza por la madrugada
Estoy en medio del que soy y del que tú quisieras
Queriendo despertar pensando como no quisiera
Y no me veas así, si hubo un culpable aquí
Fuiste tú
Que fácil fue tocar el cielo la primera vez
Cuando los besos fueron el motor de arranque
Que encendió la luz que hoy se desaparece
Así se disfraza el amor para su conveniencia
Aceptando todo sin hacer preguntas
Y dejando al tiempo la estocada a muerte
Nada más que decir
Sólo queda insistir
Fuiste tú
Que fácil fue tocar el cielo la primera vez
Cuando los besos fueron el motor de arranque
Que encendió la luz que hoy se desaparece
Así se disfraza el amor para su conveniencia
Aceptando todo sin hacer preguntas
Y dejando al tiempo la estocada a muerte
Nada más que decir
Si quieres insistir
Fuiste tú
";Fuiste tú - en vivo
"Redactaron una carta los vecinos del condominio
""Saquen a ese loco muchacho que no tiene dominio""
Se quejan de mis conciertos de Rock a las tres de la mañana
Y aseguran que vivo como un perro porque duermo en el suelo
Estoy cómodo allí
Soy así
Vivo en el sexto nivel soy vecino del viento
No tengo relojes en casa pues no creo en el tiempo
Y aunque sé que cuando suelo pasar comienzan a murmurar
""Allí va el gitano"", porque mi pelo se extiende más allá
De los límites de lo que llaman normal
Qué trivial...
Me llaman gitano urbano
Por qué critican, hermanos
Sin lavarse las manos
Me llaman gitano urbano
Por vivir sin hacerle a nadie daño
Por rasurarme cuatro veces al año
Dicen que soy un chico huraño
Me llaman gitano urbano
Porque a cualquiera le llamo mi hermano
Por andar siempre con mi guitarra y una canción
Con tintes de verdad
Me acusan de hacer el amor en un ascensor
Y son ciegos cuando ven en el mundo tanto dolor
Yo no sé lo que a mí me pasa pero soy un café fuera de su taza
Y me quedo mirando hacia arriba y me doy cuenta que el cielo es mi casa
Ya me voy...
Ochenta y nueve firmaron, lo tienen que echar
Sólo el anciano de al lado no quiso votar
Y un policía que toca a mi puerta y me dice
""Muchacho, búscate otro camino"" Yo le digo
""Usted no se preocupe, los árboles suelen ser mejores vecinos""
Ya me voy...
";Gitano Urbano
"El reloj disparando minutos
Y tu ausencia asesinando el tiempo
Ya radio provocando el recuerdo
Y a mi telefono le urge tu voz
Aprendi a odiar el calendario
Cada dia me aleja mas de ti
Sentado llorando mi destino
Que manera tan cobarde de ser
Desde hoy soy guerrero a su guerra
El amor me hace fiera
Y mi guerra eres tu
Guerrero a su guerra
Que se acabe el dolor
Mi fusil una flor
Mi bandera el amor
Guerrero a su guerra
Morire si es posible
Mi amor es intransferible
Solo te quiere a ti
Tu eres mi guerra
He venido a recuperarte
Me arme con amor y esta flor
No se si podras perdonarme
Tu expresion me dije que no
Destrozado regreso a las calles
Fracaso mi gran intencion
Mas luego, reacciono y me digo
Perdi una batalla, mas no la guerra
Mi guerra eres tu
Guerrero a su guerra
Que se acabe el dolor
Mi fusil una flor
Mi bandera el amor
Guerrero a su guerra
Morire si es posible
Mi amor es intransferible
Solo te quiere a ti
Tu eres mi guerra
Guerrero a su guerra
Que se acabe el dolor
Mi fusil una flor
Mi bandera el amor
Guerrero a su guerra
Morire si es posible
Mi amor es intransferible
Solo te quiere a ti
Tu eres mi guerra
Mi guerra de amor
Tu eres mi guerra
Mi guerra de amor
";Guerrero a su guerra
"Letra de Haste Que la Muerte Los SepareHasta que la muerte los separe
Les dijo el Padre Arturo a quemarropa
Que sea dios desde hoy quien los ampare
No habrá mas besos de otros en la boca
Firmaron como propiedad privada
Los besos, el sillón y los cubiertos
La costumbre desde hoy ya esta instalada
Y el señor azahar ya es hombre muerto
Hasta que la muerte los separe
Lunas que de miel se empalagaron
Cuartos de motel abandonado
Bocas que antes tanto se besaron
Cuerpos que olvidaron el pecado
Firmas que asustaron el futuro
Planes que también se acostumbraron
Mentiras que otra vez dicen lo juro
Sueños que se van como llegaron
Hasta que la muerte los separe
La piel que se acostumbra a la costumbre
Los sueños que no sueñan demasiado
Los jueves a ir al súper por legumbres
Y el sexo mucho mas civilizado
Ya vendrá parentela pa' animarse
Aumenta el personal corporativo
Mas tardan en llegar que en retirarse
Con una lista enorme de adjetivos
Hasta que la muerte los separe
Lunas que de miel se empalagaron
Cuartos de motel abandonado
Bocas que antes tanto se besaron
Cuerpos que olvidaron el pecado
Firmas que asustaron el futuro
Planes que también se acostumbraron
Mentiras que otra vez dicen lo juro
Sueños que se van como llegaron
Hasta que la muerte los separe
Lunas que de miel se empalagaron
Cuartos de motel abandonado
Bocas que antes tanto se besaron
Cuerpos que olvidaron el pecado
Firmas que asustaron el futuro
Planes que también se acostumbraron
Mentiras que otra vez dicen lo juro
Sueños que se van como llegaron
Hasta que la muerte los separe
";Haste Que la Muerte Los Separe
